Company \ Product,GreenT,iRT,Athena,MobileQ,MobileQ_asia,MobileQ_iOS,SMI WPI Generic,FMI,Media Bundle,Battery, FuncTest
AgioTech,543,0,0,0,0,0,0,0,0,0,0,
Aihuishou,0,0,0,0,0,0,0,0,0,0,0,
AKD International,2,0,0,0,0,0,0,2,0,2,2,
Ara Global,0,0,0,0,0,0,0,0,0,0,0,
Asset Technology Solution Inc.,0,0,0,0,0,0,0,0,0,0,0,
assurant,6821,0,0,0,0,0,0,5343,0,5146,0,
Assurant Australia,557,0,0,0,0,0,0,187,0,184,566,
Assurant Brazil,0,0,0,0,0,0,0,0,0,0,0,
Assurant Europe,7,0,0,0,0,0,0,8,0,7,0,
Assurant Japan,0,0,0,0,0,0,0,0,0,0,0,
Assurant Korea Inc.,6154,0,0,0,0,0,0,0,0,6153,0,
Assurant-LWS-AND,1014,0,0,0,0,0,0,0,0,0,0,
Assurant-VZW,0,0,0,0,0,0,0,0,0,0,0,
Atlanta Recycling Solutions _ Full Circle Electronics,10,0,0,0,0,0,0,10,0,10,10,
AXIS CompuTech,0,0,0,0,0,0,0,0,0,0,0,
Belmont Trading,7193,0,0,0,0,0,0,101,0,7160,6774,
Bluecity A_S,0,0,0,0,0,0,0,0,0,0,0,
Bohm Technologies,3883,1027,0,0,0,0,0,2497,0,1853,3578,
CDI _ TROX,0,0,0,0,0,0,0,0,0,0,0,
CDR Eco-Movement,0,0,0,0,0,0,0,0,0,0,0,
Cell Phone for Soldiers,1086,0,0,0,0,0,0,387,0,1085,1224,
Centex,61825,0,0,0,0,0,0,823,0,0,0,
Cisco,0,0,0,0,0,0,0,0,0,0,0,
CleverTronic,4896,0,0,0,0,0,0,2821,0,4807,5274,
Computer Crusher,0,0,0,0,0,0,0,0,0,0,0,
Concord,0,10256,0,0,0,0,0,13227,0,10254,10274,
Cooper General,222,0,0,0,0,0,0,0,0,0,0,
Cos Phones,0,613,0,0,0,0,0,0,0,0,683,
Covercare,648,0,0,0,0,0,0,243,0,648,698,
CTDI Poland Sp. z.o.o.,0,0,0,0,0,0,0,0,0,0,0,
DBSchenker_DLS_Houston,0,0,0,0,0,0,0,0,0,0,0,
Devices Services Group,0,0,0,0,0,0,0,0,0,0,0,
DHL,15944,1,0,0,0,0,0,0,0,5227,15182,
Dis-Connect GMBH,0,0,0,0,0,0,0,0,0,0,0,
DRE Global,0,0,0,0,0,0,0,0,0,0,0,
E-Recycle,232,284,0,0,0,0,0,214,180,355,3,
EcoATM,23884,0,0,0,0,0,0,0,0,0,26422,
Encore Repair,20078,0,0,0,0,0,0,19044,0,19851,7126,
Exodus Wireless,0,0,0,0,0,0,0,0,0,0,0,
FaceUP,2015,0,0,0,0,0,0,1962,0,1955,0,
FD Europe Demo,0,0,0,0,0,0,0,0,0,0,0,
FedEx,28706,17959,0,0,0,0,0,2773,0,45259,45973,
Fonfix (Fonua Limited),0,0,0,0,0,0,0,0,0,0,0,
Foxconn,0,0,0,0,0,0,0,0,0,0,0,
Foxconn China,0,0,0,0,0,0,0,0,0,0,0,
Foxconn-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,
Foxconn-Taipei,0,0,0,0,0,0,0,0,0,0,0,
Futuredial Taiwan,0,0,0,0,0,0,0,0,0,0,0,
Gizmogo,0,0,0,0,0,0,0,0,0,0,0,
Goldie Group,22514,23655,0,0,0,0,0,34661,0,32224,17470,
GreenMind,4691,2558,0,0,0,0,0,4922,0,5133,2281,
Group O,0,0,0,0,0,0,0,0,0,0,0,
GXO,0,0,0,0,0,0,0,0,0,0,0,
Hamilton Logistics,0,0,0,0,0,0,0,0,0,0,0,
HangSengDevelopment,13,0,0,0,0,0,0,16,0,13,9,
Highpoint,0,0,0,0,0,0,0,0,0,0,0,
HOBI,83,0,0,0,0,0,0,60,0,76,0,
human-I-T,0,0,0,0,0,0,0,0,0,0,0,
ICE Mobility,196,0,0,0,0,0,0,0,0,194,212,
iGo Life Limited,11,0,0,0,0,0,0,11,0,11,11,
iHuigou,0,0,0,0,0,0,0,0,0,0,0,
Infinite Trading,0,824,0,0,0,0,0,1,0,824,851,
ISATECH,53,0,0,0,0,0,0,52,0,53,57,
iTochu Taiwan,1191,0,0,0,0,0,0,849,0,1175,0,
itochu_asia,129847,5673,0,0,0,0,0,53476,0,129429,57368,
JM Skytech,0,0,0,0,0,0,0,0,0,0,0,
"JNS, Inc.",0,0,0,0,0,0,0,0,0,0,0,
JY Tec,88,0,0,0,0,0,0,0,0,88,0,
Konami Digital Entertainment,0,0,0,0,0,0,0,0,0,0,0,
Lan Global,9,0,0,0,0,0,0,5,0,9,5,
MET International,0,0,0,0,0,0,0,0,0,0,0,
MobilTech,137,0,0,0,0,0,0,0,0,0,0,
Movable Trade Network-AGENT_asia,3081,0,0,0,0,0,0,414,0,413,0,
Movable Trade Network_asia,3191,0,0,0,0,0,0,4,0,1949,1235,
Mr Cellular,912,712,0,0,0,0,0,899,0,1612,906,
MXdiagnosis,3,0,0,0,0,0,0,0,0,0,10,
MXM DBS,0,0,0,0,0,0,0,0,0,0,0,
MXMiPG,0,0,0,0,0,0,0,0,0,0,0,
MXmobiling,0,34740,0,0,0,0,0,0,0,0,0,
MXnmq,0,0,0,0,0,0,0,0,0,0,0,
MySwooop,425,0,0,0,0,0,0,0,0,36,0,
Nordic Mobile Trust,0,0,0,0,0,0,0,0,0,0,0,
NorthStar,0,0,0,0,0,0,0,0,0,0,0,
OG Exclusives London LTD,1311,1322,0,0,0,0,0,0,0,1277,0,
Olympus International Limited,3101,0,0,0,0,0,0,1454,0,3096,3354,
Ontronics,84382,0,0,0,0,0,0,0,0,47654,0,
Premier Logitech,15860,16695,0,0,0,0,0,2156,0,29756,17005,
PTS Electronics,0,0,0,0,0,0,0,0,0,0,0,
RadiVZW,0,0,0,0,0,0,0,0,0,0,0,
Reagan Wireless,13120,0,0,0,0,0,0,0,0,0,0,
Rebuy Poland,6719,0,0,0,0,0,0,0,0,6714,0,
reBuy reCommerce GmbH,1992,0,0,0,0,0,0,1507,0,1472,0,
Remarketed,0,0,0,0,0,0,0,0,0,0,0,
RobotTools,0,0,0,0,0,0,0,0,0,0,0,
SBE,0,10086,0,0,0,0,0,0,0,7731,0,
"Senao International Co., Ltd.",4741,0,0,0,0,0,0,4788,0,4713,1119,
Shine Electronics,41706,2645,34,0,0,0,0,3156,0,2645,0,
SIMS,0,0,0,0,0,0,0,0,0,0,0,
Smart Device Recyclers,0,0,0,0,0,0,0,0,0,0,0,
Smart Metals,6569,30,0,0,0,0,0,10093,0,6378,5636,
SPB UK & Ireland Ltd,15,0,0,0,0,0,0,0,0,15,0,
StoneGroup,23718,0,0,0,0,0,0,18710,0,0,18599,
SURANI SOLUTIONS INC. dba RE-LCD _ REVIVETECH,0,0,0,0,0,0,0,0,0,0,0,
Tech Cycle Solutions,0,0,0,0,0,0,0,0,0,0,0,
the wireless alliance,25379,0,0,0,0,0,0,14299,0,12523,5,
Tokyo Century Corporation,0,0,0,0,0,0,0,0,0,0,0,
TPC Group,4588,0,0,0,0,0,0,15,0,25,25,
TRG Solutions,0,11525,0,0,0,0,0,0,0,11521,1543,
TWM,0,0,0,0,0,0,2339,0,0,0,0,
Verizon,58592,0,0,0,0,0,0,62229,52,57372,0,
Verizon Admin Console,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Android,36381,26898,0,0,0,0,0,0,0,25252,26750,
Verizon-Carrier_Select,140,0,0,0,0,0,0,160,0,140,0,
Verizon-CRF,925,0,0,0,0,0,0,1064,0,912,0,
Verizon-DataV,0,0,0,0,0,0,0,0,0,0,0,
Verizon-DOD,2549,0,0,0,0,0,0,2407,0,2112,0,
Verizon-FastClear,3154,0,0,0,0,0,0,2254,0,3142,0,
Verizon-FGO,1741,77,0,0,0,0,0,0,0,1793,0,
Verizon-FGO_DataV,6251,0,0,0,0,0,0,0,0,6245,0,
Verizon-Lonestar,144253,0,0,0,0,0,0,76764,0,63908,0,
Verizon-Receiving,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Restart,143297,1023,0,0,0,0,0,122740,0,114896,343,
Verizon-Restart-DataV,0,0,0,0,0,0,0,0,0,0,0,
Verizon-Robot,0,0,0,0,0,0,0,0,0,0,0,
Vexwire,0,2036,0,0,0,0,0,0,0,2035,0,
Vienna Channels,139,0,0,0,0,0,0,0,0,50,0,
Vo-Net,8459,0,0,0,0,0,0,8561,0,8455,0,
WesternTech Systems,22414,12,0,0,0,0,0,19957,0,22402,0,
Xianghuanji,0,0,0,0,0,0,0,0,0,0,0,
