Company \ Product,GreenT,iRT,Athena,MobileQ,MobileQ_asia,MobileQ_iOS,SMI WPI Generic,FMI,Media Bundle,Battery, FuncTest
assurant,X,-,-,-,-,-,-,X,-,X,-
Verizon-Carrier_Select,X,-,-,-,-,-,-,X,-,X,-
brightstar_Sprint,1,1,1,1,1,1,1,1,1,1,1
Foxconn-Chihuahua,-,-,-,-,-,-,-,-,-,-,-
Verizon,-,-,-,-,-,-,-,-,X,-,-
PTS Electronics,-,-,-,-,-,-,-,-,-,-,-
Devices Services Group,-,-,-,-,-,-,-,-,-,-,-
Goldie Group,-,X,-,-,-,-,-,X,-,X,-
Vienna Channels,-,-,-,-,-,-,-,-,-,X,-
Cos Phones,-,X,-,-,-,-,-,-,-,-,X
iGo Life Limited,X,-,-,-,-,-,-,X,-,X,X
Verizon-DataV,-,-,-,-,-,-,-,-,-,-,-
Brightstar UK,1,1,1,1,1,1,1,1,1,1,1
Verizon-FGO_DataV,X,-,-,-,-,-,-,-,-,X,-
MXM DBS,-,-,-,-,-,-,-,-,-,-,-
Foxconn China,-,-,-,-,-,-,-,-,-,-,-
Sprint RNS,1,1,1,1,1,1,1,1,1,1,1
Rebuy Poland,X,-,-,-,-,-,-,-,-,X,-
Verizon Admin Console,-,-,-,-,-,-,-,-,-,-,-
Assurant Korea Inc.,X,-,-,-,-,-,-,-,-,X,-
MXnmq,-,-,-,-,-,-,-,-,-,-,-
Assurant Brazil,-,-,-,-,-,-,-,-,-,-,-
Highpoint,-,-,-,-,-,-,-,-,-,-,-
Premier Logitech,X,-,-,-,-,-,-,X,-,-,-
JY Tec,X,-,-,-,-,-,-,-,-,X,-
HOBI,-,-,-,-,-,-,-,X,-,-,-
TRG Solutions,-,X,-,-,-,-,-,-,-,X,X
Assurant Europe,-,-,-,-,-,-,-,-,-,-,-
Brightstar_Special Projects,1,1,1,1,1,1,1,1,1,1,1
Brightstar_migrated,1,1,1,1,1,1,1,1,1,1,1
Encore Repair,X,-,-,-,-,-,-,X,-,X,X
Brightstar Target,1,1,1,1,1,1,1,1,1,1,1
Brightstar_UBER,1,1,1,1,1,1,1,1,1,1,1
Covercare,-,-,-,-,-,-,-,X,-,-,-
FedEx,X,X,-,-,-,-,-,X,-,X,X
Brightstar Mobile Q,1,1,1,1,1,1,1,1,1,1,1
Group O,-,-,-,-,-,-,-,-,-,-,-
iHuigou,-,-,-,-,-,-,-,-,-,-,-
iTochu Taiwan,X,-,-,-,-,-,-,X,-,X,-
Konami Digital Entertainment,-,-,-,-,-,-,-,-,-,-,-
Tech Cycle Solutions,-,-,-,-,-,-,-,-,-,-,-
Xianghuanji,-,-,-,-,-,-,-,-,-,-,-
Movable Trade Network-AGENT_asia,X,-,-,-,-,-,-,X,-,X,-
reBuy reCommerce GmbH,X,-,-,-,-,-,-,X,-,X,-
clover,1,1,1,1,1,1,1,1,1,1,1
AXIS CompuTech,-,-,-,-,-,-,-,-,-,-,-
Foxconn,-,-,-,-,-,-,-,-,-,-,-
Concord,-,-,-,-,-,-,-,-,-,-,-
CDR Eco-Movement,-,-,-,-,-,-,-,-,-,-,-
Shine Electronics,X,X,X,-,-,-,-,X,-,X,-
Smart Device Recyclers,-,-,-,-,-,-,-,-,-,-,-
MySwooop,X,-,-,-,-,-,-,-,-,X,-
SPB UK & Ireland Ltd,-,-,-,-,-,-,-,-,-,-,-
Movable Trade Network_asia,-,-,-,-,-,-,-,X,-,X,X
NorthStar,-,-,-,-,-,-,-,-,-,-,-
Brightstar-Sprint-TIBB,1,1,1,1,1,1,1,1,1,1,1
JM Skytech,-,-,-,-,-,-,-,-,-,-,-
